Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
12/12/10,Heerenveen,Twente,6,2,1,8,0.36413865764769265
12/12/10,Vitesse,Ajax,0,1,0,1,0.275372599445796
14/12/10,VVV Venlo,Roda,0,4,0,4,0.46593909183494264
15/12/10,Excelsior,NAC Breda,1,3,1,4,0.3164700763737441
18/12/10,Den Haag,Willem II,2,1,1,3,0.2586166929572673
18/12/10,Excelsior,Groningen,2,2,1,4,0.2777482264516592
18/12/10,Heerenveen,Graafschap,4,0,0,4,0.24582019223403553
18/12/10,NAC Breda,Vitesse,1,1,1,2,0.450653821820504
19/12/10,PSV Eindhoven,Roda,3,1,1,4,0.4029063772109984
19/01/11,Ajax,Feyenoord,2,0,0,2,0.1828070424385183
19/01/11,AZ Alkmaar,Nijmegen,2,2,1,4,0.390507460303115
19/01/11,Twente,Heracles,5,0,0,5,0.5109940814854309
19/01/11,VVV Venlo,Utrecht,1,2,1,3,0.3450577650240221
21/01/11,Den Haag,Heerenveen,3,1,1,4,0.36718933173422763
22/01/11,Feyenoord,Graafschap,0,1,0,1,0.17970137808441558
22/01/11,Heracles,AZ Alkmaar,0,0,0,0,0.3510639972083095
22/01/11,Nijmegen,NAC Breda,2,2,1,4,0.48553768938092984
22/01/11,Willem II,Vitesse,1,0,0,1,0.5207767551522198
23/01/11,Groningen,Twente,1,2,1,3,0.3116419009310825
23/01/11,Roda,Excelsior,3,0,0,3,0.4206121159905916
23/01/11,Utrecht,Ajax,3,0,0,3,0.33306243296790644
23/01/11,VVV Venlo,PSV Eindhoven,0,3,0,3,0.2833615591312987
28/01/11,Nijmegen,Heracles,1,1,1,2,0.47514930810200506
29/01/11,AZ Alkmaar,VVV Venlo,6,1,1,7,0.28754079904325286
29/01/11,PSV Eindhoven,Willem II,2,1,1,3,0.3872709273332524
29/01/11,Vitesse,Roda,5,2,1,7,0.34328044599318597
30/01/11,Excelsior,Den Haag,1,5,1,6,0.41109312242165247
30/01/11,Heerenveen,Groningen,1,4,1,5,0.3511628338052366
30/01/11,NAC Breda,Ajax,0,3,0,3,0.3220749351487833
30/01/11,Twente,Feyenoord,2,1,1,3,0.28547131760719036
01/02/11,Graafschap,Utrecht,0,0,0,0,0.4622225292940123
04/02/11,Ajax,Graafschap,2,0,0,2,-0.03824542742968437
05/02/11,Excelsior,AZ Alkmaar,2,1,1,3,0.3451035840288159
05/02/11,Heerenveen,Nijmegen,0,0,0,0,0.4723288527605186
05/02/11,PSV Eindhoven,Den Haag,0,1,0,1,0.5502454654608026
05/02/11,VVV Venlo,NAC Breda,3,0,0,3,0.3196533722635901
06/02/11,Groningen,Willem II,7,1,1,8,0.3676244040171549
06/02/11,Heracles,Roda,1,0,0,1,0.4066221925065089
06/02/11,Utrecht,Twente,1,1,1,2,0.44085158863834184
06/02/11,Vitesse,Feyenoord,1,1,1,2,0.2646772051253117
12/02/11,AZ Alkmaar,PSV Eindhoven,0,4,0,4,0.34699491874446176
12/02/11,Den Haag,VVV Venlo,3,0,0,3,0.33985339364686584
12/02/11,Feyenoord,Heracles,2,1,1,3,0.31949029382859034
12/02/11,Twente,Vitesse,1,0,0,1,0.4276304664767072
12/02/11,Willem II,Utrecht,3,3,1,6,0.4164406168725232
13/02/11,Graafschap,Groningen,1,1,1,2,0.32697511240655386
13/02/11,NAC Breda,Heerenveen,0,2,0,2,0.49668265693896896
13/02/11,Nijmegen,Excelsior,2,0,0,2,0.4706327062043625
13/02/11,Roda,Ajax,2,2,1,4,0.12129970242911697
18/02/11,Utrecht,Heracles,1,1,1,2,0.39978094893511573
19/02/11,Excelsior,Willem II,4,0,0,4,0.5438399962275206
19/02/11,Groningen,Roda,1,4,1,5,0.4464684421338074
19/02/11,Heerenveen,AZ Alkmaar,0,2,0,2,0.26163848748533997
20/02/11,Ajax,VVV Venlo,1,0,0,1,0.15563445465851933
20/02/11,Den Haag,Feyenoord,2,2,1,4,0.3488405358742946
20/02/11,PSV Eindhoven,NAC Breda,4,1,1,5,0.3067836263901518
20/02/11,Twente,Nijmegen,1,1,1,2,0.31956617865161174
20/02/11,Vitesse,Graafschap,2,0,0,2,0.12896027863978846
25/02/11,VVV Venlo,Excelsior,1,0,0,1,0.14011721653504758
26/02/11,Heracles,Vitesse,6,1,1,7,0.2956511271903846
26/02/11,NAC Breda,Den Haag,3,2,1,5,0.3607167890702398
26/02/11,Roda,Graafschap,1,1,1,2,0.1660835080022582
26/02/11,Willem II,Heerenveen,4,3,1,7,0.41710529873630287
27/02/11,AZ Alkmaar,Twente,2,1,1,3,0.4877553131493855
27/02/11,Feyenoord,Groningen,5,1,1,6,0.467612914981329
27/02/11,Nijmegen,Utrecht,1,1,1,2,0.45554438018233206
27/02/11,PSV Eindhoven,Ajax,0,0,0,0,0.24620763838356935
04/03/11,Graafschap,Willem II,2,1,1,3,0.37115317551908816
05/03/11,Den Haag,Nijmegen,5,1,1,6,0.4221751179746463
05/03/11,Excelsior,PSV Eindhoven,2,3,1,5,0.22170011780246343
05/03/11,Twente,NAC Breda,2,0,0,2,0.402791262726897
05/03/11,Vitesse,VVV Venlo,2,0,0,2,0.2413596354717671
06/03/11,Ajax,AZ Alkmaar,4,0,0,4,0.12773677084951943
06/03/11,Groningen,Heracles,1,4,1,5,0.5186235839176303
06/03/11,Heerenveen,Feyenoord,0,1,0,1,0.34679915062994565
06/03/11,Utrecht,Roda,1,1,1,2,0.5090812364508445
11/03/11,Utrecht,Groningen,1,0,0,1,0.5880889790454336
12/03/11,Heracles,Excelsior,4,1,1,5,0.22818801686039758
12/03/11,Roda,AZ Alkmaar,1,2,1,3,0.31017323259177865
12/03/11,Vitesse,Heerenveen,1,1,1,2,0.3029916135457451
13/03/11,Feyenoord,NAC Breda,2,1,1,3,0.36937908747897513
13/03/11,Graafschap,Den Haag,1,0,0,1,0.4252414727957786
13/03/11,Nijmegen,PSV Eindhoven,2,2,1,4,0.35475780295346615
13/03/11,Twente,VVV Venlo,2,1,1,3,0.1803764520575599
13/03/11,Willem II,Ajax,1,3,1,4,0.2613770177105982
18/03/11,AZ Alkmaar,Vitesse,3,1,1,4,0.398040050314985
19/03/11,Heracles,Heerenveen,4,2,1,6,0.45613280390608846
19/03/11,NAC Breda,Groningen,0,1,0,1,0.41519292476045877
19/03/11,Nijmegen,Graafschap,1,0,0,1,0.3355752294906995
19/03/11,VVV Venlo,Willem II,0,0,0,0,0.30450119746835486
20/03/11,Den Haag,Ajax,3,2,1,5,0.3100930514546584
20/03/11,Excelsior,Twente,0,2,0,2,0.514151457391721
20/03/11,PSV Eindhoven,Utrecht,1,0,0,1,0.45199406999002334
20/03/11,Roda,Feyenoord,3,0,0,3,0.4835625269398091
02/04/11,Feyenoord,AZ Alkmaar,0,1,0,1,0.3691420267513842
02/04/11,Graafschap,NAC Breda,1,3,1,4,0.283325424067385
02/04/11,Heerenveen,Excelsior,2,3,1,5,0.17084455799870152
02/04/11,Twente,PSV Eindhoven,2,0,0,2,0.25913212178712897
02/04/11,Willem II,Roda,4,5,1,9,0.5224114409993518
03/04/11,Ajax,Heracles,3,0,0,3,0.3638580382818905
03/04/11,Groningen,VVV Venlo,3,2,1,5,0.3304387464135292
03/04/11,Utrecht,Den Haag,2,3,1,5,0.3796353173216007
03/04/11,Vitesse,Nijmegen,2,1,1,3,0.39487905686979
08/04/11,AZ Alkmaar,NAC Breda,1,1,1,2,0.42480550683442375
09/04/11,Den Haag,Vitesse,1,0,0,1,0.45822994342997264
09/04/11,Excelsior,Graafschap,0,0,0,0,0.2192572973661945
09/04/11,VVV Venlo,Nijmegen,1,4,1,5,0.25807108893474096
09/04/11,Willem II,Heracles,2,6,1,8,0.5780007851540812
10/04/11,Ajax,Groningen,2,0,0,2,0.19012808840932008
10/04/11,PSV Eindhoven,Heerenveen,2,2,1,4,0.3585592184130221
10/04/11,Twente,Roda,1,1,1,2,0.3792033240928617
10/04/11,Utrecht,Feyenoord,0,4,0,4,0.331926807199273
15/04/11,Heerenveen,Utrecht,3,0,0,3,0.292064546425313
16/04/11,AZ Alkmaar,Den Haag,3,1,1,4,0.4470220069104513
16/04/11,NAC Breda,Excelsior,1,2,1,3,0.27008006103338034
16/04/11,Roda,VVV Venlo,5,2,1,7,0.39161112105190693
16/04/11,Vitesse,Groningen,2,1,1,3,0.2998038095664618
17/04/11,Feyenoord,Willem II,6,1,1,7,0.37850805186986036
17/04/11,Graafschap,Twente,1,1,1,2,0.392072201145853
17/04/11,Heracles,PSV Eindhoven,0,2,0,2,0.3914999980372555
17/04/11,Nijmegen,Ajax,1,2,1,3,0.3733902847480448
22/04/11,Den Haag,Twente,1,2,1,3,0.46476476716027154
23/04/11,Heracles,Graafschap,2,0,0,2,0.251932976583216
23/04/11,Roda,NAC Breda,5,1,1,6,0.4873909082120422
23/04/11,VVV Venlo,Heerenveen,2,2,1,4,0.3942765954284652
23/04/11,Willem II,AZ Alkmaar,2,1,1,3,0.4526575864858008
24/04/11,Ajax,Excelsior,4,1,1,5,0.19350485881216048
24/04/11,Feyenoord,PSV Eindhoven,3,1,1,4,0.2582385447556773
24/04/11,Groningen,Nijmegen,3,1,1,4,0.5970423685338071
24/04/11,Utrecht,Vitesse,4,2,1,6,0.2981632105051437
