Date,HomeTeam,AwayTeam,FTHG,FTAG,A&H Scored?,Note Match Beta
26/02/11,Roda,Graafschap,1.0,1.0,1,0.49336514669494524
26/02/11,Willem II,Heerenveen,4.0,3.0,1,0.5734232187042367
27/02/11,AZ Alkmaar,Twente,2.0,1.0,1,0.5768146240468616
27/02/11,Feyenoord,Groningen,5.0,1.0,1,0.6631252840478715
27/02/11,Nijmegen,Utrecht,1.0,1.0,1,0.6647942230975105
27/02/11,PSV Eindhoven,Ajax,0.0,0.0,,0.34109124880068675
04/03/11,Graafschap,Willem II,2.0,1.0,1,0.5165161844165026
05/03/11,Den Haag,Nijmegen,5.0,1.0,1,0.6555648134121093
05/03/11,Excelsior,PSV Eindhoven,2.0,3.0,1,0.4718083118719386
05/03/11,Twente,NAC Breda,2.0,0.0,,0.5515144170075241
05/03/11,Vitesse,VVV Venlo,2.0,0.0,,0.3667434227137302
06/03/11,Ajax,AZ Alkmaar,4.0,0.0,,0.33162147149421806
06/03/11,Groningen,Heracles,1.0,4.0,1,0.6934858354794727
06/03/11,Heerenveen,Feyenoord,0.0,1.0,,0.5304999242539009
06/03/11,Utrecht,Roda,1.0,1.0,1,0.6640200979649549
11/03/11,Utrecht,Groningen,1.0,0.0,,0.6561566429328889
12/03/11,Heracles,Excelsior,4.0,1.0,1,0.6128854214007978
12/03/11,Roda,AZ Alkmaar,1.0,2.0,1,0.6053244457910417
12/03/11,Vitesse,Heerenveen,1.0,1.0,1,0.5018663838812301
13/03/11,Feyenoord,NAC Breda,2.0,1.0,1,0.5729970206534363
13/03/11,Graafschap,Den Haag,1.0,0.0,,0.48865323435843055
13/03/11,Nijmegen,PSV Eindhoven,2.0,2.0,1,0.6032373882745039
13/03/11,Twente,VVV Venlo,2.0,1.0,1,0.48544361965358784
13/03/11,Willem II,Ajax,1.0,3.0,1,0.47103368176538907
18/03/11,AZ Alkmaar,Vitesse,3.0,1.0,1,0.5343634802807655
19/03/11,Heracles,Heerenveen,4.0,2.0,1,0.5934777558955713
19/03/11,NAC Breda,Groningen,0.0,1.0,,0.5621648235115891
19/03/11,Nijmegen,Graafschap,1.0,0.0,,0.4953199010250972
19/03/11,VVV Venlo,Willem II,0.0,0.0,,0.4491289198606272
20/03/11,Den Haag,Ajax,3.0,2.0,1,0.47329091551785085
20/03/11,Excelsior,Twente,0.0,2.0,,0.525440084835631
20/03/11,PSV Eindhoven,Utrecht,1.0,0.0,,0.5353779730343887
20/03/11,Roda,Feyenoord,3.0,0.0,,0.6153244457910417
02/04/11,Feyenoord,AZ Alkmaar,0.0,1.0,,0.5058501237186285
02/04/11,Graafschap,NAC Breda,1.0,3.0,1,0.4794854315002778
02/04/11,Heerenveen,Excelsior,2.0,3.0,1,0.5217426652527395
02/04/11,Twente,PSV Eindhoven,2.0,0.0,,0.4810341867393829
02/04/11,Willem II,Roda,4.0,5.0,1,0.6708650204514467
03/04/11,Ajax,Heracles,3.0,0.0,,0.503771145785992
03/04/11,Groningen,VVV Venlo,3.0,2.0,1,0.48073170731707315
03/04/11,Utrecht,Den Haag,2.0,3.0,1,0.6427617027723073
03/04/11,Vitesse,Nijmegen,2.0,1.0,1,0.6057965964752815
08/04/11,AZ Alkmaar,NAC Breda,1.0,1.0,1,0.5637676109680352
09/04/11,Den Haag,Vitesse,1.0,0.0,,0.5828733020249457
09/04/11,Excelsior,Graafschap,0.0,0.0,,0.43555168408826944
09/04/11,VVV Venlo,Nijmegen,1.0,4.0,1,0.552102711710347
09/04/11,Willem II,Heracles,2.0,6.0,1,0.7066373781750239
10/04/11,Ajax,Groningen,2.0,0.0,,0.4497793263646922
10/04/11,PSV Eindhoven,Heerenveen,2.0,2.0,1,0.5482851083169217
10/04/11,Twente,Roda,1.0,1.0,1,0.645684997222643
10/04/11,Utrecht,Feyenoord,0.0,4.0,,0.5403181336161188
15/04/11,Heerenveen,Utrecht,3.0,0.0,,0.5562687471595213
16/04/11,AZ Alkmaar,Den Haag,3.0,1.0,1,0.6045962732919254
16/04/11,NAC Breda,Excelsior,1.0,2.0,1,0.5705544614452356
16/04/11,Roda,VVV Venlo,5.0,2.0,1,0.589962126950462
16/04/11,Vitesse,Groningen,2.0,1.0,1,0.6057965964752815
17/04/11,Feyenoord,Willem II,6.0,1.0,1,0.6157965964752816
17/04/11,Graafschap,Twente,1.0,1.0,1,0.5087113063677221
17/04/11,Heracles,PSV Eindhoven,0.0,2.0,,0.5428152300156541
17/04/11,Nijmegen,Ajax,1.0,2.0,1,0.5478750694339242
22/04/11,Den Haag,Twente,1.0,2.0,1,0.6357930616573246
23/04/11,Heracles,Graafschap,2.0,0.0,,0.5049558147755391
23/04/11,Roda,NAC Breda,5.0,1.0,1,0.7098469928798667
23/04/11,VVV Venlo,Heerenveen,2.0,2.0,1,0.5511462909660152
23/04/11,Willem II,AZ Alkmaar,2.0,1.0,1,0.6694864414482654
24/04/11,Ajax,Excelsior,4.0,1.0,1,0.49125789021865374
24/04/11,Feyenoord,PSV Eindhoven,3.0,1.0,1,0.4997136797454931
24/04/11,Groningen,Nijmegen,3.0,1.0,1,0.6945467858405292
24/04/11,Utrecht,Vitesse,4.0,2.0,1,0.5749643993334344
01/05/11,AZ Alkmaar,Graafschap,5.0,1.0,1,0.5517386254607888
01/05/11,Den Haag,Groningen,2.0,4.0,1,0.6764434681613898
01/05/11,Excelsior,Utrecht,3.0,1.0,1,0.5735858203302531
01/05/11,Heerenveen,Ajax,1.0,2.0,1,0.5668565368883502
01/05/11,NAC Breda,Heracles,1.0,2.0,1,0.6567454426097056
01/05/11,Nijmegen,Roda,5.0,0.0,,0.7095450184315508
01/05/11,PSV Eindhoven,Vitesse,2.0,1.0,1,0.6004923496439933
01/05/11,Twente,Willem II,4.0,0.0,,0.6218093218199263
01/05/11,VVV Venlo,Feyenoord,3.0,2.0,1,0.5721607837196384
