Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
12/02/11,Kaiserslautern,Dortmund,1,1,1,0.33072295613972535
12/02/11,Schalke 04,Freiburg,1,0,0,0.19173852816543316
12/02/11,St Pauli,M'gladbach,3,1,1,0.377123319204235
12/02/11,Stuttgart,Nurnberg,1,4,1,0.4118323045181855
12/02/11,Wolfsburg,Hamburg,0,1,0,0.2836977984174337
13/02/11,FC Koln,Mainz,4,2,1,0.3206100726947521
13/02/11,Werder Bremen,Hannover,1,1,1,0.35252909360613216
16/02/11,Hamburg,St Pauli,0,1,0,0.2877351753022769
18/02/11,Nurnberg,Ein Frankfurt,3,0,0,0.22143525804494787
19/02/11,Dortmund,St Pauli,2,0,0,0.24714197076783237
19/02/11,Freiburg,Wolfsburg,2,1,1,0.3500458460547936
19/02/11,Hamburg,Werder Bremen,4,0,0,0.2869973547709591
19/02/11,Hannover,Kaiserslautern,3,0,0,0.3354974790491284
19/02/11,Hoffenheim,FC Koln,1,1,1,0.4829027770610107
19/02/11,Mainz,Bayern Munich,1,3,1,0.4051525954472526
20/02/11,Leverkusen,Stuttgart,4,2,1,0.5148562221466612
20/02/11,M'gladbach,Schalke 04,2,1,1,0.35587167495781247
25/02/11,Wolfsburg,M'gladbach,2,1,1,0.39469563917383843
26/02/11,Bayern Munich,Dortmund,1,3,1,0.39508147262902227
26/02/11,FC Koln,Freiburg,1,0,0,0.3285866834565895
26/02/11,Hoffenheim,Mainz,1,2,1,0.46440522239295146
26/02/11,Kaiserslautern,Hamburg,1,1,1,0.3299913747540102
26/02/11,Schalke 04,Nurnberg,1,1,1,0.28106730822410264
26/02/11,St Pauli,Hannover,0,1,0,0.2468227724982099
27/02/11,Ein Frankfurt,Stuttgart,0,2,0,0.29099879950756713
27/02/11,Werder Bremen,Leverkusen,2,2,1,0.45656323215448724
04/03/11,Dortmund,FC Koln,1,0,0,0.2752134315359773
05/03/11,Ein Frankfurt,Kaiserslautern,0,0,0,0.2493252389747807
05/03/11,Hannover,Bayern Munich,3,1,1,0.4174590829561288
05/03/11,Leverkusen,Wolfsburg,3,0,0,0.37453551241172434
05/03/11,M'gladbach,Hoffenheim,2,0,0,0.4930705703006112
05/03/11,Nurnberg,St Pauli,5,0,0,0.25008112970220037
05/03/11,Stuttgart,Schalke 04,1,0,0,0.2705510203041164
06/03/11,Freiburg,Werder Bremen,1,3,1,0.3654270487724415
06/03/11,Hamburg,Mainz,2,4,1,0.3612877171873725
11/03/11,FC Koln,Hannover,4,0,0,0.2492273443036159
12/03/11,Bayern Munich,Hamburg,6,0,0,0.34849168025865207
12/03/11,Hoffenheim,Dortmund,1,0,0,0.362975673155305
12/03/11,Kaiserslautern,Freiburg,2,1,1,0.3892041591070857
12/03/11,Schalke 04,Ein Frankfurt,2,1,1,0.174367268782258
12/03/11,Werder Bremen,M'gladbach,1,1,1,0.5189297888459569
12/03/11,Wolfsburg,Nurnberg,1,2,1,0.3932639142474158
13/03/11,Mainz,Leverkusen,0,1,0,0.33775877672084686
13/03/11,St Pauli,Stuttgart,1,2,1,0.4006273940426295
18/03/11,M'gladbach,Kaiserslautern,0,1,0,0.45132613713021985
19/03/11,Dortmund,Mainz,1,1,1,0.3750310149350683
19/03/11,Ein Frankfurt,St Pauli,2,1,1,0.2228115200406236
19/03/11,Freiburg,Bayern Munich,1,2,1,0.5176764503412644
19/03/11,Hamburg,FC Koln,6,2,1,0.3476707532161109
19/03/11,Hannover,Hoffenheim,2,0,0,0.2815548090830671
19/03/11,Nurnberg,Werder Bremen,1,3,1,0.41612603517356583
20/03/11,Leverkusen,Schalke 04,2,0,0,0.27126537638874787
20/03/11,Stuttgart,Wolfsburg,1,1,1,0.4154537425555642
01/04/11,St Pauli,Schalke 04,0,2,0,0.22793150130086295
02/04/11,Bayern Munich,M'gladbach,1,0,0,0.41084926403161803
02/04/11,Dortmund,Hannover,4,1,1,0.2815111362950705
02/04/11,Hoffenheim,Hamburg,0,0,0,0.3135589221066516
02/04/11,Kaiserslautern,Leverkusen,0,1,0,0.31133784101236006
02/04/11,Mainz,Freiburg,1,1,1,0.4219524518024982
02/04/11,Werder Bremen,Stuttgart,1,1,1,0.5912032913102022
03/04/11,FC Koln,Nurnberg,1,0,0,0.35860929408913145
03/04/11,Wolfsburg,Ein Frankfurt,1,1,1,0.3392849641311238
08/04/11,Ein Frankfurt,Werder Bremen,1,1,1,0.4095090930232387
09/04/11,Freiburg,Hoffenheim,3,2,1,0.43756807857534075
09/04/11,Hamburg,Dortmund,1,1,1,0.3597739685073801
09/04/11,Hannover,Mainz,2,0,0,0.3342165590510207
09/04/11,Nurnberg,Bayern Munich,1,1,1,0.473378672512388
09/04/11,Schalke 04,Wolfsburg,1,0,0,0.2940189407733482
09/04/11,Stuttgart,Kaiserslautern,2,4,1,0.43167910517151636
10/04/11,Leverkusen,St Pauli,2,1,1,0.3113280054357306
10/04/11,M'gladbach,FC Koln,5,1,1,0.4284319679162553
15/04/11,Mainz,M'gladbach,1,0,0,0.36808906948761233
16/04/11,FC Koln,Stuttgart,1,3,1,0.47651252157469015
16/04/11,Hamburg,Hannover,0,0,0,0.2756075014314533
16/04/11,Hoffenheim,Ein Frankfurt,1,0,0,0.299457881018601
16/04/11,Kaiserslautern,Nurnberg,0,2,0,0.3731644001623408
16/04/11,Werder Bremen,Schalke 04,1,1,1,0.46569335807983364
16/04/11,Wolfsburg,St Pauli,2,2,1,0.4218377565263265
17/04/11,Bayern Munich,Leverkusen,5,1,1,0.4026779463845249
17/04/11,Dortmund,Freiburg,3,0,0,0.37316104925295296
21/04/11,Freiburg,Hannover,1,3,1,0.41458921964454265
23/04/11,Ein Frankfurt,Bayern Munich,1,1,1,0.47197455886567863
23/04/11,Leverkusen,Hoffenheim,2,1,1,0.368862259377811
23/04/11,M'gladbach,Dortmund,1,0,0,0.34939946690908197
23/04/11,Schalke 04,Kaiserslautern,0,1,0,0.24872218303124607
23/04/11,St Pauli,Werder Bremen,1,3,1,0.5259169670152097
23/04/11,Stuttgart,Hamburg,3,0,0,0.36402092802751795
24/04/11,Nurnberg,Mainz,0,0,0,0.34047682186709416
24/04/11,Wolfsburg,FC Koln,4,1,1,0.494148905720893
29/04/11,Kaiserslautern,St Pauli,2,0,0,0.31993279184583534
29/04/11,Werder Bremen,Wolfsburg,0,1,0,0.5244620783259057
30/04/11,Bayern Munich,Schalke 04,4,1,1,0.39277828871134335
30/04/11,Dortmund,Nurnberg,2,0,0,0.2975579097540259
30/04/11,FC Koln,Leverkusen,2,0,0,0.3439347338107279
30/04/11,Hamburg,Freiburg,0,2,0,0.3472309630642506
30/04/11,Hannover,M'gladbach,0,1,0,0.24332351296488358
30/04/11,Hoffenheim,Stuttgart,1,2,1,0.4946877193307374
30/04/11,Mainz,Ein Frankfurt,3,0,0,0.2862995877814513
07/05/11,Ein Frankfurt,FC Koln,0,2,0,0.3320232169019143
07/05/11,Leverkusen,Hamburg,1,1,1,0.35826611088428906
07/05/11,M'gladbach,Freiburg,2,0,0,0.32204256872964265
07/05/11,Nurnberg,Hoffenheim,1,2,1,0.3852926610134088
07/05/11,Schalke 04,Mainz,1,3,1,0.31878065142431333
07/05/11,St Pauli,Bayern Munich,1,8,1,0.5676361772432823
07/05/11,Stuttgart,Hannover,2,1,1,0.40337867474939515
07/05/11,Werder Bremen,Dortmund,2,0,0,0.4149547376826577
07/05/11,Wolfsburg,Kaiserslautern,1,2,1,0.4267013863917648
14/05/11,Bayern Munich,Stuttgart,2,1,1,0.62974178762921
